,Question,Rep,type
653,nuire à l'environnement ,to harm the environment ,voc
654,un ouragan ,a hurricane ,voc
655,langue maternelle ,mother-tongue ,voc
656,un pays anglophone ,an English-speaking country ,voc
657,un anglophone ,a native English speaker ,voc
658,la langue familière ,colloquial language ,voc
659,l'argot ,slang ,voc
660,l'anglais parlé ,spoken english ,voc
661,une formule ,a catchphrase ,voc
662,inventer un mot ,to coin a word,voc
663,l'ortographe ,spelling ,voc
664,le sens ,meaning ,voc
665,dénué de sens ,meaningless,voc
666,traduire ,to translate ,voc
667,mal traduire qqc ,to mistranslate ,voc
668,s'exprimer ,to express oneself ,voc
669,être bilingue ,be fluent ,voc
670,épeler un mot ,to spell a word ,voc
671,c'est-à-dire ,that's to say ,voc
672,une expression ,a phrase ,voc
673,parler mal anglais ,to speak broken English ,voc
674,mauvais anglais ,pidgin English ,voc
675,le charabia ,globish ,voc
676,mondialisation,globalization,voc
677,l'économie mondiale ,the global economy ,voc
678,une frontière ,a border,voc
679,le commerce ,trade ,voc
680,l'Organisation Mondiale du Commerce ,the World Trade Organization (WTO),voc
681,libre-échange ,free trade ,voc
682,l'économie de marché ,the free market ,voc
683,libéralisme ,liberalism ,voc
684,un partenaire commercial ,a trading partner ,voc
685,taux de change ,exchange rate ,voc
686,mesures protectionistes ,protectionist measures ,voc
687,les droits de douane,customs duties ,voc
688,le Tiers-Monde ,the Third World ,voc
689,un pays émergent ,an emerging country ,voc
690,le commerce équitable ,fair trade ,voc
691,les délocalisations ,outsourcing ,voc
692,la concurrence ,competition ,voc
693,l'occidentalisation ,Westernalization ,voc
694,l'altermondialisme ,alter-globalization ,voc
695,la démondialisation ,deglobalization ,voc
696,les PMA,least developed countries ,voc
697,la santé,health,voc
698,une maladie ,a disease ,voc
699,contagieux ,contagious ,voc
700,la peste ,plague ,voc
701,la grippe ,flu ,voc
702,le SIDA ,AIDS,voc
703,séropositif ,HIV-positive ,voc
704,prescrire ,to prescribe ,voc
705,ordonnance ,a prescription ,voc
706,le système immunitaire ,the immune system,voc
707,se propager ,to spread ,voc
708,tousser,to cough ,voc
709,une épidémie ,an epidemic ,voc
710,un généraliste ,a GP (general practitioner) ,voc
711,un médicament ,"a drug, a medicine ",voc
712,un antalgique ,a painkiller ,voc
713,un effet secondaire ,a side effect ,voc
714,un vaccin ,a vaccine ,voc
715,guérison ,recovery ,voc
716,le système de santé ,the health care system ,voc
717,avoir de la fièvre ,to have a fever ,voc
718,un étranger ,a foreigner ,voc
719,un réfugié ,a refugee ,voc
720,un nouvel arrivant ,a newcomer ,voc
721,pays natal ,native country ,voc
722,la politique migratoire ,immigration policy ,voc
723,les flux migratoires ,migration flows ,voc
724,les contrôles aux frontières ,border controls ,voc
725,demander l'asile politique ,to seek political asylum ,voc
726,expulser qqn ,to deport sb ,voc
727,exploiter les travailleurs immigrés ,to exploit migrant workers ,voc
728,un permis de travail ,a work permit ,voc
729,freiner l'immigration ,to curb immigration ,voc
730,les contrôles d'identité,identity checks ,voc
731,passeport,passport ,voc
732,immigration clandestine ,illegal immigration ,voc
733,être refoulé à la frontière ,to be turned away at the border ,voc
734,solde migratoire ,net migration ,voc
735,s'expatrier ,to expatriate oneself ,voc
736,un exilé ,an exile ,voc
737,une carte de séjour ,a resident permit ,voc
738,se faire neutraliser français ,to be granted French citizenship ,voc
739,argent ,money ,voc
740,richesse ,wealth ,voc
741,PIB,GDP,voc
742,le niveau de vie ,standard of living ,voc
743,aisé ,well-off,voc
744,l'impôt sur le revenu ,income tax,voc
745,un contribuable ,a tax payer ,voc
746,la pauvreté ,poverty ,voc
747,la misère ,extreme poverty ,voc
748,un ménage à revenu modeste ,a low-income household ,voc
749,défavorisé ,underprivileged ,voc
750,le fossé entre les riches et les pauvres ,the gap between rich and poor ,voc
751,le fossé social ,the social divide ,voc
752,faire fortune ,to strike gold ,voc
753,partir de rien ,to start from scratch ,voc
754,avoir du mal à payer les factures ,to have difficulty paying the bills ,voc
755,joindre les deux bouts ,to make ends meet ,voc
756,les gains ,earnings ,voc
757,les plus démunis ,the most destitute ,voc
758,vivre des allocations ,to live on the benefit ,voc
759,la répartition de la richesse ,the distribution of wealth ,voc
760,un brevet ,a patent ,voc
761,un ingénieur ,an engineer ,voc
762,concevoir ,to devise ,voc
763,technologie ,technology ,voc
764,un prototype ,a model ,voc
765,un projet ,a blueprint ,voc
766,innover ,to innovate ,voc
767,être l'un des premiers à étudier qqc ,to pioneer the study of sth ,voc
768,un moteur ,an engine ,voc
769,faire fonctionner un système ,to operate a system ,voc
770,dernier cri,state-of-the-art ,voc
771,un appareil sans fil ,a wireless device ,voc
772,un écran tactile ,a touch screen ,voc
773,un capteur ,a censor ,voc
774,un inventeur ,an inventor ,voc
775,la robotique ,robotics ,voc
776,l'électronique ,electronics ,voc
777,un mécanisme ,a mechanism ,voc
778,un technicien ,a technician ,voc
779,un technopole ,a science park or a research park ,voc
780,le génie civil ,civil engineering ,voc
781,se battre ,to fight ,voc
782,frapper qqn,to hit sb ,voc
783,passer qqn à tabac ,to beat sb up ,voc
784,violenece conjugale ,domestic violence ,voc
785,la réglementation des armes à feu ,gun control ,voc
786,menacer qqn ,to threaten sb ,voc
787,intimider qqn ,to bully sb ,voc
788,agresser qqn ,to mug sb,voc
789,une arme de poing ,a handgun ,voc
790,tirer ,to shoot ,voc
791,abattre qqn ,to shoot sb dead,voc
792,le lobby des armes à feu ,the gun lobby ,voc
793,un fabriquant d'armes ,a gun manufacturer,voc
794,interdire les armes à feu ,to outlaw / ban firearms ,voc
795,un meurtrier ,a murderer ,voc
796,viol ,rape,voc
797,massacre,bloodshed,voc
798,une blessure ,a wound ,voc
799,porter une arme ,to bear a gun ,voc
800,Association à but non lucratif défendant le droit de posséder une arme aux USA,The National Rifle Association of America ,voc
801,Amendement qui autorise tout citoyen américain à posséder une arme ,The Second Amendment of the Constitution ,voc
802,un scientifique ,a scientist ,voc
803,prouvé scientifiquement ,scientifically proven ,voc
804,les progrès scientifiques ,medical advances ,voc
805,un physicien ,a physicist ,voc
806,un chimiste ,a chemist ,voc
807,un astronome ,an astronomer ,voc
808,la connaissance ,knowledge ,voc
809,théorique ,theorical ,voc
810,une hypothèse ,a hypothesis ,voc
811,des données ,data ,voc
812,des preuves ,evidence ,voc
813,contestable ,questionable ,voc
814,la recherche de pointe ,cutting-edge research ,voc
815,des recherches révolutionnaires ,groundbreaking research ,voc
816,un universitaire ,an academic ,voc
817,des conclusions ,findings ,voc
818,une percée ,a breakthrough ,voc
819,une expérience ,an experiment ,voc
820,faire une expérience ,to conduct an experiment ,voc
821,un cobaye ,a guinea pig ,voc
822,recherche et développement ,research and development ,voc
823,la foi ,faith ,voc
824,une croyance ,a belief ,voc
825,superstitieux ,superstitious ,voc
826,aller à l'église ,to go to church ,voc
827,assister à la messe ,to attend Mass,voc
828,sacré ,sacred ,voc
829,le bien et le mal ,good and evil ,voc
830,un pécheur ,a sinner ,voc
831,un pape ,a pope ,voc
832,un ecclésiastique ,a cleric ,voc
833,le foulard islamique ,the Islamic headscarf ,voc
834,le judaïsme ,judaism ,voc
835,liberté de culte ,freedom of worship ,voc
836,la prière ,prayer ,voc
837,un fanatique ,a fanatic ,voc
838,intégriste ,fundamentalist ,voc
839,profaner ,to desecrate ,voc
840,un athée ,an atheist ,voc
841,profaner ,to desecrate ,voc
842,un non-croyant ,a nonbeliever ,voc
843,laïc ,secular ,voc
844,un tribunal ,a court ,voc
845,une affaire ,a case ,voc
846,un procès,a trial ,voc
847,un indice ,a clue ,voc
848,des preuves ,evidence ,voc
849,un témoin ,a witness sth ,voc
850,témoigner ,to testify ,voc
851,une amende ,a fine ,voc
852,acquitter ,to acquit ,voc
853,condamner qqn ,to find sb guilty ,voc
854,être jugé ,to be on trial ,voc
855,un casier judiciaire ,a criminal record ,voc
856,innocenter ,to exonerate sb ,voc
857,faire appel d'une décision ,to appeal against ,voc
858,appliquer la loi ,to enforce the law,voc
859,être témoin de qqc ,to witness sth ,voc
860,un accusé ,a defendant ,voc
861,plaider ,to plead ,voc
862,enfreindre la loi ,to break the law ,voc
863,appliquer la loi ,to enforce the law ,voc
864,poursuivre qqn en justice ,to sue ,voc
865,une enquête ,an investigation ,voc
866,faire un reportage sur ,to report on ,voc
867,faire la critique ,to review,voc
868,faire une étude ,to survey ,voc
869,un reportage ,a scoop ,voc
870,la couverture,coverage ,voc
871,couvrir ,to cover,voc
872,dévoiler,to uncover,voc
873,divulguer ,to leak ,voc
874,rédacteur en chef ,an editor ,voc
875,publier ,to publish ,voc
876,un kiosque à journaux ,a newstand ,voc
877,un quotidien ,a daily ,voc
878,un hebdomadaire,a weekly ,voc
879,un torchon,a rag ,voc
880,s'abonner à ,to subscribe ,voc
881,les gros titres,the headlines ,voc
882,les médias ,the media ,voc
883,le journalisme à sensation ,tabloid journalism ,voc
884,traquer ,to stalk ,voc
885,les potins ,gossip ,voc
886,diffamer ,to libel ,voc
887,falsifier ,to tamper,voc
888,un préjugé ,a prejudice ,voc
889,la liberté de la presse ,press freedom ,voc
890,étouffer qqc ,to stifle ,voc
891,une contrefaçon ,a forgery ,voc
892,une atteinte à la vie privée ,an infringement of privacy ,voc
893,une question d'actualité ,a topical issue ,voc
894,un envoyé spécial ,a special correspondent ,voc
895,un réseau,a network ,voc
896,les réseaux sociaux ,social media ,voc
897,une série ,a series,voc
898,captiver ,to engross,voc
899,une tactique ,a gambit ,voc
900,monter en flèche ,"to spike, to skyrocket",voc
901,"faire une pierre, deux coups ",to kill two birds with one stone,voc
902,faire les cents pas,to pace out ,voc
903,faire irruption ,to burst in ,voc
904,être en piteux état ,to be in a sorry state ,voc
905,la bulle internet ,the dotcom boom ,voc
906,rembourser un prêt ,to repay a loan ,voc
0,être responsable de ,to be responsible for,gram
1,d'un point de vue économique ,from an economical point of view,gram
2,être conscient de ,to be conscious of,gram
3,participer à ,to participate in,gram
4,imposer qqc à qqn,to impose sth on sb ,gram
5,être dans un train ,to be on a train ,gram
6,accuser qqn de ,to accuse sb of sth ,gram
7,marcher sous pluie ,to walk in the rain ,gram
8,être scandalisé par ,to be outraged at/by,gram
9,être satisfait de,to be satisfied with,gram
10,penser à qqn ,to think on,gram
11,être enceinte d'un enfant ,to be pregnant with a child ,gram
12,avoir hâte de ,to look forward to doing sth,gram
13,fournir qqc à qqn ,to provide sb with sth ,gram
14,être assis en face de ,to sit opposite sb ,gram
15,voler qqc à qqn ,to steal sth from sb ,gram
16,être ravi de ,to be delighted on ,gram
17,être accroc à ,to be hooked to ,gram
18,profiter de qqc ,to enjoy sth / to take advantage of,gram
19,être furieux de qqc,to be mad at,gram
20,en avoir marre de ,to be sick and tired of ,gram
21,en avoir marre de ,to be fed up with,gram
22,prendre un médicament,to be on a medecine ,gram
23,être surpris par ,to be surprised at,gram
24,continuer qqc ,to go on with,gram
25,au soleil ,in the sun ,gram
26,être déçu de ,to be disappointed with,gram
27,au rythme de la musique ,to the rythm ,gram
28,manquer de qqc ,lack sth ,gram
29,être habitué à qqc ,to be used doing sth ,gram
30,attendre qqc ,to wait for sth ,gram
31,discuter de qqc ,to discuss sth ,gram
32,la même que ,the same as ,gram
33,emprunter qqc à qqn ,to borrow sth from sb ,gram
34,le plus riche du monde,the richest in the world ,gram
35,être fou de qqc ,to be mad about sth ,gram
36,se plaindre de qqc ,to complain about sth ,gram
37,assister à qqc ,to attend sth ,gram
38,être dégouté de ,to be disgusted with ,gram
39,se rappeler de qqc ,to remind to do sth,gram
40,être en jeu ,to be at stake ,gram
41,peindre qqc en vert ,to paint sth green ,gram
42,être entouré de ,to be surounded with,gram
43,traiter de ,to deal with,gram
44,espérer qqc ,to hope for,gram
45,obéir à qqn ,to obey sb ,gram
46,se faire opérer ,to be operated on,gram
47,être gentil avec qqn,to be nice to sb,gram
48,se marier avec qqn,to marry sb,gram
49,travailler dans une ferme ,to work on a farm ,gram
50,approuver ,to approve ,gram
51,sur l'image,in the picture,gram
52,parler de qqc à qqn ,to tell sb about sth ,gram
53,face à un problème ,in the face of a problem ,gram
54,être absorbé par ,to be engrossed in,gram
55,écouter qqn ,listen to sb ,gram
56,partir en voyage ,to go on a trip ,gram
57,rappeler qqc à qqn ,remind sb of sth ,gram
58,débattre de qqc ,debate sth ,gram
59,à la TV,on TV,gram
60,vivre au bord de mer,by the seaside ,gram
61,vivre de qqc ,live on sth ,gram
62,être perplexe devant qqc ,to be puzzled at sth ,gram
63,dépendre de ,to depend on ,gram
64,être indépendant de ,to be independant from ,gram
65,entrer dans une pièce ,to enter a roam ,gram
66,mettre le feu à qqc ,set fire to ,gram
67,reprocher qqc à qqn ,to blame so for sth ,gram
68,espionner qqn ,to spy on sb,gram
69,,,gram
70,verbe : ,verbal root / Preterit / Past participle ,gram
71,survenir,arise arose arisen ,gram
72,se réveiller ,awake awoke awoken ,gram
73,porter ,bear bore borne ,gram
74,battre ,beat beat beaten ,gram
75,devenir,become became become ,gram
76,commencer ,begin began begun ,gram
77,plier ,bend bent bent ,gram
78,parier ,bet bet bet ,gram
79,offrir ,bid bid bid,gram
80,mordre ,bite bit bitten ,gram
81,saigner ,bleed bled bled ,gram
82,souffler ,blow blew blown ,gram
83,casser ,break broke broken ,gram
84,apporter ,bring brought brought ,gram
85,diffuser ,broadcast broadcast broadcast ,gram
86,construire ,build built built ,gram
87,brûler ,burn burnt burnt ,gram
88,éclater ,burst burst burst ,gram
89,acheter ,buy bought bought ,gram
90,pouvoir ,can could could ,gram
91,jeter ,cast cast cast ,gram
92,attraper ,catch caught caught ,gram
93,gronder ,chide chid chid ,gram
94,choisir ,choose chose chosen ,gram
95,s'accrocher ,cling clung clung ,gram
96,venir ,come came come ,gram
97,coûter ,cost cost cost ,gram
98,ramper ,creep crept crept ,gram
99,couper ,cut cut cut ,gram
100,distribuer ,deal dealt dealt ,gram
101,creuser ,dig dug dug ,gram
102,faire ,do did done ,gram
103,dessiner ,draw drew drawn ,gram
104,rêver ,dream dreamt dreamt ,gram
105,boire,drink drank drunk ,gram
106,conduire,drive drove driven ,gram
107,habiter ,dwell dwelt dwelt,gram
108,manger ,eat ate eaten ,gram
109,tomber ,fall fell fallen ,gram
110,nourrir ,feed fed fed ,gram
111,se sentir ,feel felt felt ,gram
112,se battre ,fight fought fought ,gram
113,trouver ,find found found ,gram
114,s'enfuir ,flee fled fled ,gram
115,lancer ,fling flung flung ,gram
116,voler ,fly flew flown ,gram
117,interdire ,forbid forbade forbidden ,gram
118,prévoir ,forecast forecast forecast,gram
119,presentir ,foresee foresaw forseen,gram
120,oublier ,forget forgot forgotten,gram
121,pardonner ,forgive forgave forgiven ,gram
122,abandonner ,forsake forsook forsaken ,gram
123,geler ,freeze froze frozen ,gram
124,obtenir ,get got got ,gram
125,donner ,give gave given ,gram
126,aller ,go went gone ,gram
127,moudre ,grind ground ground ,gram
128,grandir ,grow grew grown ,gram
129,tenir ,hang hung hung ,gram
130,avoir ,have had had ,gram
131,entendre,hear heard heard ,gram
132,cacher ,hide hid hidden ,gram
133,taper ,hit hit hit ,gram
134,tenir ,hold held held ,gram
135,blesser ,hurt hurt hurt ,gram
136,garder,keep kept kept ,gram
137,s'agenouiller,kneel knelt knelt ,gram
138,connaître ,know knew known ,gram
139,poser ,lay laid laid ,gram
140,mener,lead led led ,gram
141,s'incliner ,lean leant leant ,gram
142,sauter ,leap leapt leapt ,gram
143,apprendre ,learn learnt learnt ,gram
144,laisser ,leave left left ,gram
145,prêter ,lend lent lent ,gram
146,permettre / louer ,let let let ,gram
147,s'allonger ,lie lay lain ,gram
148,allumer ,light lit lit ,gram
149,perdre ,lose lost lost ,gram
150,fabriquer ,make made made ,gram
151,signifier ,mean meant meant ,gram
152,rencontrer ,meet met met ,gram
153,tondre ,mow mowed mowed ,gram
154,compenser ,offset offset offset ,gram
155,surmonter ,overcome overcame overcome ,gram
156,prendre part à ,partake partook partaken ,gram
157,payer ,pay paid paid ,gram
158,supplier / plaider ,plead pled pled ,gram
159,programmer ,preset preset preset ,gram
160,prouver ,prove proved proved,gram
161,mettre ,put put put ,gram
162,quitter ,quit quit quit,gram
163,lire ,read read read,gram
164,déchirer ,rend rent rent ,gram
165,débarrasser,rid rid rid ,gram
166,sonner ,ring rang rung ,gram
167,lever ,rise rose risen ,gram
168,courir,run ran run ,gram
169,scier,saw saw sawn ,gram
170,dire,say said said ,gram
171,voir,see saw seen ,gram
172,chercher,seek sought sought ,gram
173,vendre,sell sold sold ,gram
174,envoyer,send sent sent ,gram
175,fixer,set set set ,gram
176,secouer,shake shook shaken ,gram
177,répandre,shed shed shed ,gram
178,briller,shine shone shone ,gram
179,chausser,shoe shod shod ,gram
180,tirer,shoot shot shot ,gram
181,monter,show showed shown ,gram
182,fermer,shut shut shut ,gram
183,chanter,sing sang sung ,gram
184,couler,sink sang sunk ,gram
185,s'asseoir,sit sat sat ,gram
186,dormir,sleep slept slept ,gram
187,glisser,slide slid slid ,gram
188,fendre,slit slit slit ,gram
189,sentir,smell smelt smelt ,gram
190,semer,sow sowed sown ,gram
191,parler,speak spoke spoken ,gram
192,aller vite,speed sped sped ,gram
193,épeler,spell spelt spelt ,gram
194,dépenser,spend spent spent ,gram
195,renverser,spill spilt spilt ,gram
196,tourner,spin spun spun ,gram
197,cracher,spit spat spat ,gram
198,fendre,slit split split ,gram
199,gâcher,spoil spoilt spoilt ,gram
200,répandre,spread spread spread,gram
201,surgir,spring sprang sprung ,gram
202,être debout,stand stood stood ,gram
203,voler ,steal stole stolen ,gram
204,coller,stick stuck stuck ,gram
205,piquer,sting stung stung ,gram
206,puer,stink stank stunk ,gram
207,éparpiller,strew strewed strewed ,gram
208,frapper,strike struck struck ,gram
209,jurer,swear swore sworn ,gram
210,suer,sweat sweat sweat ,gram
211,balayer,sweep swept swept ,gram
212,gonfler,swell swelled swollen ,gram
213,nager,swim swam swum ,gram
214,se balancer,swing swung swung ,gram
215,prendre part à ,take took taken ,gram
216,enseigner,teach taught taught ,gram
217,déchirer ,tear tore torn ,gram
218,dire / raconter,tell told told ,gram
219,penser,think thought tought ,gram
220,prospérer,thrive throve thriven ,gram
221,jeter ,throw threw thrown ,gram
222,enfoncer ,thrust thrust thrust,gram
223,subir ,undergo underwent undergone ,gram
224,comprendre,understand understood understood ,gram
225,réveiller,wake woke woken ,gram
226,pleurer,weep wept wept ,gram
227,gagner ,win won won ,gram
228,enrouler,wind wound wound ,gram
229,se retirer,withdraw withdrew withdrawn ,gram
230,écrire,write wrote written,gram
231,,,gram
232,nom dénombrable ,"utiliser few, a few, many, several ...",gram
233,nom indénombrable,"utiliser little, a little, much ...",gram
234,much,ne s'emploie que dans des questions ou des phrases négatives,gram
235,every ,on l'utilise pour uniformiser et on le traduit par tous ,gram
236,each ,on l'utilise pour particulariser ,gram
237,"dozen, hundred, thousand, million ...",ne prennent pas la marque du pluriel quand ils sont employés comme adjectifs ,gram
238,most + GN,la plupart de ,gram
239,most of + particularisation ,donne une catégorie ,gram
240,,,gram
241,il est impossible de la convaincre de venir,there's no convincing her to come ,gram
242,cela ne vaut pas la peine d'attendre ,it's no use waiting ,gram
243,cela vaut la peine de voir ce film ,it's worth seeing this film ,gram
244,ce film vaut la peine d'être vu,this film is worth seeing,gram
245,,,gram
246,prendre un café,have a coffee,gram
247,boire un verre,have a drink ,gram
248,prendre une douche ,have a shower ,gram
249,faire une pause ,have a break ,gram
250,faire un rêve,have a dream,gram
251,faire un cauchemar,have a nightmare,gram
252,nager ,have a swim ,gram
253,essayer ,have a go ,gram
254,se faire couper les cheveux ,have a haircut ,gram
255,se disputer ,have an argument ,gram
256,se faire avorter ,to have an abortion ,gram
257,se faire opérer ,to have an operation,gram
258,,,gram
259,on utilisera make ,"make a cake, a reform, a choice, a decision, a mistake ...",gram
260,on utilisera do ,"do homework, duty, damage ...",gram
261,faire faire qqc par qqn ,have sth done or have sb do sth ,gram
262,faire (contrainte),make sb do sth ,gram
263,faire des études ,to study ,gram
264,faire mal ,to hurt ,gram
265,faire semblant ,to pretend ,gram
266,faire penser à ,to remind ,gram
267,faire entrer qqn ,show sb in ,gram
268,faire pousser une barbe ,to grow a beard ,gram
269,faire couler un bain,to run a bath,gram
270,,,gram
271,grand ,tall taller the tallest ,gram
272,intelligent ,clever cleverer the cleverest ,gram
273,fin ,thin thinner the thinnest ,gram
274,drôle ,funny funnier the funniest ,gram
275,mauvais,(bad) ill worse the worst ,gram
276,bon ,(good) well better the best ,gram
277,loin,far farther/further the farthest/ the furthest,gram
278,vieux ,old elder/older the eldest/ the oldest ,gram
279,"avec des adjectifs courts, employez : ",not so / as long as au lieu de ,gram
280,transformez : the least big ,par : the smallest,gram
281,transformez : the least rich ,par : the poorest ,gram
282,un assez bon film ,quite a good film ,gram
283,,,gram
284,manquer une occasion,miss,gram
285,manquer de qqc ,to lack sth ,gram
286,manquer de ressources ,to run out (of),gram
287,tu me manques ,I miss you ,gram
288,manquer avec une négation ,to fail ,gram
289,,,gram
290,le motif ,the reason for ,gram
291,la demande de ,the demand for ,gram
292,la nécessité de ,the need for ,gram
293,respect pour ,respect for ,gram
294,une chute ,a fall in ,gram
295,une baisse de ,a drop in ,gram
296,un déclin de ,a decline in ,gram
297,une hausse de ,a rise in ,gram
298,une augmentation dans,an increase in ,gram
299,in intérêt pour ,an interest in ,gram
300,une solution pour ,a solution to ,gram
301,la clé de ,the key to ,gram
302,une menace pour ,a threat to ,gram
303,à bannir de ,to ban from ,gram
304,à dissuader de ,to deter from ,gram
305,suspect de ,suspect of ,gram
306,accusé de ,accuse of ,gram
307,critiquer pour ,criticize for ,gram
308,convaincre quelqu'un de,talk sb into ,gram
309,pour sauver de ,to save from,gram
